tconst	averageRating	numVotes
tt0000001	5.7	2142
tt0000002	5.5	290
tt0000003	6.4	2178
tt0000004	5.3	186
tt0000005	6.2	2913
tt0000006	5.0	209
tt0000007	5.3	904
tt0000008	5.4	2288
tt0000009	5.4	222
tt0000010	6.8	7912
tt0000011	5.2	416
tt0000012	7.4	13438
tt0000013	5.7	2061
tt0000014	7.1	6132
tt0000015	6.1	1266
tt0000016	5.9	1653
tt0000017	4.6	378
tt0000018	5.2	660
tt0000019	5.2	34
tt0000020	4.7	408
tt0000022	5.1	1206
tt0000023	5.7	1580
tt0000024	3.7	156
tt0000025	4.2	50
tt0000026	5.6	1672
tt0000027	5.6	1268
tt0000028	5.1	1193
tt0000029	5.9	3662
tt0000030	5.2	958
tt0000031	5.5	1092
tt0000032	4.9	459
tt0000033	5.5	1130
tt0000034	4.8	252
tt0000035	5.5	87
tt0000036	4.4	652
tt0000037	4.5	79
tt0000038	4.1	231
tt0000039	3.7	35
tt0000040	4.2	81
tt0000041	6.7	2106
tt0000042	4.2	41
tt0000043	3.5	35
tt0000044	4.0	56
tt0000045	4.0	36
tt0000046	4.1	41
tt0000047	3.7	40
tt0000048	4.7	233
tt0000049	4.8	56
tt0000050	4.1	37
tt0000051	3.6	38
tt0000052	4.1	123
tt0000053	3.4	20
tt0000054	4.9	37
tt0000055	3.8	34
tt0000056	3.0	24
tt0000057	4.3	38
tt0000058	4.3	36
tt0000059	3.5	30
tt0000060	7.1	94
tt0000061	4.3	36
tt0000062	6.1	221
tt0000063	3.4	31
tt0000064	3.1	32
tt0000065	3.4	32
tt0000066	3.3	32
tt0000067	5.2	94
tt0000068	3.8	34
tt0000069	4.9	543
tt0000070	6.4	2882
tt0000071	3.4	32
tt0000072	3.6	30
tt0000073	3.5	33
tt0000074	4.6	34
tt0000075	6.3	2160
tt0000076	4.4	586
tt0000077	4.5	38
tt0000078	3.6	111
tt0000079	4.5	39
tt0000080	4.1	34
tt0000081	4.1	35
tt0000082	4.6	52
tt0000083	4.5	36
tt0000084	4.4	33
tt0000085	4.7	36
tt0000086	4.2	36
tt0000087	4.8	39
tt0000088	4.3	35
tt0000089	6.2	1100
tt0000090	4.0	34
tt0000091	6.7	4287
tt0000092	4.6	32
tt0000093	4.6	100
tt0000094	4.4	55
tt0000095	4.8	37
tt0000096	4.5	32
tt0000097	4.9	36
tt0000098	5.3	39
tt0000099	4.7	35
tt0000100	4.7	65
tt0000101	4.6	31
tt0000102	4.7	29
tt0000103	5.5	30
tt0000104	5.5	499
tt0000105	5.0	32
tt0000106	4.5	26
tt0000107	5.3	31
tt0000108	4.4	587
tt0000109	4.5	574
tt0000110	4.3	580
tt0000111	4.4	594
tt0000112	4.5	568
tt0000113	4.3	595
tt0000114	5.1	33
tt0000115	4.9	37
tt0000116	5.2	30
tt0000117	5.0	188
tt0000118	4.8	46
tt0000119	5.0	75
tt0000120	4.8	66
tt0000121	4.3	122
tt0000122	5.1	34
tt0000123	5.5	200
tt0000124	5.3	33
tt0000125	4.6	17
tt0000126	5.8	34
tt0000127	4.4	30
tt0000128	5.5	42
tt0000129	6.5	55
tt0000130	5.1	31
tt0000131	5.7	1633
tt0000132	5.1	1209
tt0000133	6.3	38
tt0000134	4.5	23
tt0000135	6.2	89
tt0000137	4.9	42
tt0000138	6.4	1308
tt0000139	5.3	29
tt0000140	4.9	343
tt0000141	5.1	141
tt0000142	5.2	33
tt0000143	5.0	301
tt0000144	5.2	370
tt0000145	3.6	15
tt0000146	5.0	28
tt0000147	5.3	555
tt0000148	3.4	17
tt0000149	4.8	24
tt0000150	5.4	198
tt0000151	4.6	75
tt0000152	6.2	314
tt0000153	5.7	560
tt0000154	3.6	18
tt0000155	5.2	31
tt0000156	3.9	26
tt0000157	3.9	17
tt0000158	3.2	17
tt0000159	5.1	165
tt0000160	5.3	29
tt0000161	3.6	16
tt0000162	5.4	508
tt0000163	5.0	15
tt0000164	5.0	342
tt0000165	4.7	150
tt0000166	3.6	20
tt0000167	4.1	170
tt0000168	3.2	18
tt0000169	4.0	62
tt0000170	5.2	295
tt0000171	3.6	20
tt0000172	6.0	1141
tt0000173	4.6	47
tt0000174	4.5	147
tt0000175	4.9	255
tt0000176	4.7	15
tt0000177	4.6	260
tt0000178	5.2	273
tt0000179	4.7	50
tt0000181	6.6	64
tt0000182	4.8	603
tt0000183	5.7	38
tt0000184	4.8	351
tt0000186	4.9	26
tt0000187	4.8	66
tt0000188	3.7	13
tt0000189	7.6	11
tt0000190	4.7	163
tt0000192	4.5	199
tt0000194	5.4	86
tt0000196	4.7	34
tt0000197	4.1	23
tt0000198	4.3	22
tt0000199	4.0	15
tt0000200	3.2	14
tt0000201	5.8	30
tt0000204	5.7	15
tt0000205	4.9	34
tt0000206	5.4	16
tt0000207	5.5	15
tt0000208	5.7	611
tt0000209	4.8	37
tt0000210	5.1	39
tt0000211	7.4	5044
